Criterion,Study Link,NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
"Inclusion Criteria:

* Eligible for home visiting program selected to be in the study
* At least 15 years old
* Pregnant or have a child under 28 weeks old

Exclusion Criteria:

* women already enrolled in home visiting (for example, with an older child)
* children in foster care in sites using EHS program model
* homeless families in sites using EHS program model
* women who speak neither English or Spanish",https://clinicaltrials.gov/ct2/show/NCT02069782,NCT02069782,MIHOPE,ACTIVE_NOT_RECRUITING,2012-10,"Pregnancy, Infant Development",Home visiting,New York - United States,2019-01,2014-02-24,2024-12-13,INTERVENTIONAL,NA
"Inclusion Criteria:

* Adults ages \>17 years.
* At least weekly seizures (or 4 per month). All seizure types allowed.
* Tried at least two anticonvulsants.

Exclusion Criteria:

* Unwilling to restrict carbohydrates
* Significantly underweight (Body Mass Index \<18.5)
* Prior use of the modified Atkins diet for ≥ 2 days
* Prior use of KetoCal® at any time for any duration
* Use of the ketogenic diet within the past year
* Kidney disease
* History of hypercholesterolemia (total cholesterol \> 300 mg/dl) or hypertriglyceridemia (triglycerides \> 200 mg/dl)
* Metabolic or mitochondrial disorder
* Pregnancy or breastfeeding
* Lactose intolerance or milk allergy
* Aversion to liquids or inability to eat solid food",https://clinicaltrials.gov/ct2/show/NCT01834482,NCT01834482,Unknown,COMPLETED,2013-03,"Epilepsy, Seizure, Medically Resistant Epilepsy, Medically Resistant Seizures","Modified Atkins diet, KetoCal",Baltimore - United States,2017-09,2013-04-18,2018-08-31,INTERVENTIONAL,NA
"Inclusion Criteria for PWD:

* Meets criteria for all-cause dementia using standard assessments and diagnostic criteria
* English speaking
* Has a reliable informal caregiver available and willing to participate
* Living at home the Greater Baltimore area

Exclusion Criteria:

* Planned move from home in less than 6 months
* On hospice or has end stage disease (bed-bound and non-communicative)
* Enrolled in another clinical trial for dementia or associated symptoms",https://clinicaltrials.gov/ct2/show/NCT02396082,NCT02396082,MIND at Home,COMPLETED,2014-08,"Dementia, Caregiver Burden","MIND-S Intervention, Augmented Usual Care",Baltimore - United States,2020-04,2015-03-24,2021-07-16,INTERVENTIONAL,NA
"Inclusion Criteria:

* Currently receiving care at Geisinger nephrology practices
* Age 18 and older
* Advanced Kidney disease (determined by estimated glomerular filtration rates (eGFR) or presence of albuminuria)

Exclusion Criteria:

* None",https://clinicaltrials.gov/ct2/show/NCT02722382,NCT02722382,Unknown,COMPLETED,2017-01-31,Chronic Kidney Disease,Patient-Centered Kidney Transitions Care,Baltimore - United States,2020-10-30,2016-03-30,2024-03-25,INTERVENTIONAL,NA
"Inclusion Criteria:

* African American or White, 18 or older, and enrolled in the Flint Registry

Exclusion Criteria:

* All who do not meet inclusion criteria.",https://clinicaltrials.gov/ct2/show/NCT04957082,NCT04957082,Unknown,COMPLETED,2021-08-04,SARS-CoV2 Infection,"Culturally Targeted SARS-CoV-2 Communication, General SARS-CoV-2 Communication",Flint - United States,2022-12-19,2021-07-12,2024-06-28,INTERVENTIONAL,NA
"Please see https://docs.google.com/spreadsheets/d/1kUCnitJL1PpB9xkYDvBoQsKX5dnRZ6nEXhKw6p5UnlY/edit?usp=sharing or Appendix A for full code and algorithm definitions.

Medicare timeframe: 2007 to 2017 (end of data availability).

Inclusion Criteria:

* 1. No prior use of tofacitinib or abatacept anytime prior to cohort entry date
* 2. Enrollment in Medicare Part A, B, and D with no HMO coverage for 365 days prior to and including cohort entry date

Exclusion Criteria:

* 1. Prior history of dementia measured anytime prior to cohort entry date
* 2. No prior history of rheumatoid arthritis recorded in the 365 days prior to cohort entry date
* 3. Prior history of nursing home admission in the 365 days prior to the cohort entry date",https://clinicaltrials.gov/ct2/show/NCT04529876,NCT04529876,DREAM,COMPLETED,2020-08-17,Rheumatoid Arthritis,"Tofacitinib, Abatacept",Boston - United States,2021-08-31,2020-08-28,2021-11-16,OBSERVATIONAL,Not Available
"Inclusion Criteria:

* Age ≥ 18 years
* Signed informed consent and authorization of use and disclosure of protected health information
* Patients undergoing surgery for retinal detachment due to PVR

Exclusion Criteria:

* Patients with poorly controlled diabetes mellitus (defined as HbA1C ≥ 8.0% on any anti-diabetic medications or insulin. If the patient is using any anti-diabetic medication/insulin, he becomes eligible if the medication is used continuously for \>30 days)
* Patients with poorly controlled hypertension (defined as systolic blood pressure \>180 mm Hg and/or diastolic blood pressure \>100 mm Hg at rest with up to 3 anti-hypertensive medications. If a patient's initial measurement exceeds these values, a second reading may be taken 30 or more mins later. If the patient is using any anti-hypertensives, he becomes eligible if the medication is used continuously for \>30 days)
* Patients with congestive heart failure
* Patients with scleroderma
* Patients with osteoporosis
* Patients with active systemic fungal infection
* Patients with active ocular herpes simplex
* Patients with prior or active bleeding peptic ulcer
* Pregnant patients or patients who wish to become pregnant during the course of the study (females of child-bearing age will be counselled to use contraception for the duration of the study)",https://clinicaltrials.gov/ct2/show/NCT03727776,NCT03727776,Unknown,COMPLETED,2019-08-19,Proliferative Vitreoretinopathy,Adrenocorticotropic Hormone,Baltimore - United States,2023-07-07,2018-11-01,2023-08-08,INTERVENTIONAL,EARLY_PHASE1
"Inclusion Criteria:

Females, aged 9-21 years, in the following groups:

* CKD (defined as estimated glomerular filtration rate between 90 ml/min/1.73m2 and 15 ml/min/1.73m2, as calculated by the Schwartz formula)
* ESRD (eGFR \< 15 ml/min/1.73m2, or receiving chronic dialysis \[peritoneal or hemodialysis\])
* Status-post kidney transplant

Exclusion Criteria:

* Within first 3 months post kidney transplant
* Within 3 months of kidney rejection episode
* Hypersensitivity to active substances or excipients of Gardasil vaccine",https://clinicaltrials.gov/ct2/show/NCT00806676,NCT00806676,Unknown,COMPLETED,2008-12,Chronic Kidney Disease,Gardasil® Vaccine (FDA-approved vaccination regimen),"Atlanta - United States, Baltimore - United States",2015-08,2008-12-11,2017-07-24,INTERVENTIONAL,NA
"Inclusion Criteria:

* Age \>=18
* A patient in the Johns Hopkins University (JHU) Bartlett Clinic
* Smoked \>100 cigarettes in their lifetime
* Current daily smoker (verified by exhaled carbon monoxide)
* English speaking.

Exclusion Criteria:

* Individuals will be excluded if they do not meet the above requirements",https://clinicaltrials.gov/ct2/show/NCT03580460,NCT03580460,Unknown,COMPLETED,2018-04-04,"Hiv, Cigarette Smoking",Computer delivered smoking cessation counseling,Baltimore - United States,2018-09-01,2018-07-09,2019-11-26,INTERVENTIONAL,NA
"Inclusion Criteria:

* Experiences of intimate partner violence within the past one year
* Foreign born immigrant woman
* 18-64 years of age
* Can access and use internet and phone

Exclusion Criteria:

* No experience of intimate partner violence within the past one year
* US born
* Younger than 18 or older than 64
* Cannot access or use internet or phone",https://clinicaltrials.gov/ct2/show/NCT04098276,NCT04098276,IWWP,COMPLETED,2021-01-11,"Violence, Domestic, Violence-Related Symptom, Violence, Physical, Violence, Sexual, Violence, Gender-Based, Violence",WeWomen Plus technology based intervention,Baltimore - United States,2024-07-29,2019-09-23,2024-07-30,INTERVENTIONAL,NA
"* INCLUSION CRITERIA
* Age 18-61 years old
* Laboratory-confirmed HIV-1 infection
* CD4 count \>350 cells/mm\^3
* Plasma HIV RNA \<50 copies/mL for at least 12 months prior to screening. Participants who have a viral blip of up to 200 copies/mL may be included if they have a preceding and following VL \<50 copies/mL.
* Stable antiretroviral therapy regimen for greater than or equal to 3 months prior to screening
* Weight greater than or equal to 50 kg
* Have participated in NIH protocol 13 N-0149 or the JHU Clinical Outcomes Core
* Completion of at least 7th grade (according to subject report) and ability to speak, read, and understand English to allow use of standard neurocognitive batteries
* An established primary care provider
* Willingness to have blood and CSF samples stored for future research
* Willingness to undergo serial lumbar punctures (LPs) per study schedule
* Willingness to undergo genetic testing
* For women of childbearing potential, willingness to use 2 forms of effective birth control beginning 2 weeks before and continuing until 12 weeks after the start of anakinra. One method must be a condom and the other may be a diaphragm or cervical cap with spermicide, oral contraceptive, implant, contraceptive patch, IUD placed at least 3 months ago or having a male partner who had a vasectomy at least 3 months ago.

EXCLUSION CRITERIA

* Presence of a neurologic condition that would confound study evaluations (eg, multiple sclerosis, Parkinson s disease). Neurologic conditions that would not interfere with study evaluations (eg, migraine, peripheral neuropathy) will be allowed.
* Presence of a condition, other than HAND, associated with cognitive impairment (e.g. untreated severe sleep apnea) at screening
* Presence of HIV-associated dementia as determined through participation in NIH protocol 13-N-0149 or the JHU Clinical Outcomes Core
* Inability to provide informed consent
* Past or current psychiatric illness that may interfere with protocol adherence (eg schizophrenia or bipolar disorder)
* Use of any psychiatric medications unless stable greater than or equal to 3 months at the time of screening
* Current asthma requiring treatment
* History of any AIDS-defining opportunistic infection in the past two years or any history of a CNS opportunistic infection
* History of lymphoma or melanoma
* Any medical condition (eg, congestive heart failure, coronary artery disease, chronic obstructive pulmonary disease, severe osteoarthritis) that would make frequent study visits and travel difficult for the participant
* Positive urine drug screen or active abuse of illegal drugs, narcotics or alcohol as determined by the study investigator at the time of screening or at baseline evaluations
* Women who are pregnant or actively seeking to become pregnant
* Women who are breastfeeding
* Use of any systemic immunosuppressive medication, including TNF inhibitors, within five half lives of the drug prior to of screening
* Contraindications to LP including: International Normalized Ratio (INR) \>1.5, platelets \<100,000/Microlitre, or inability to temporarily discontinue aspirin for 7-10 days and nonsteroidal anti-inflammatory drugs for 3 days prior to LP
* Aspartate aminotransferase (AST) or alanine aminotransferase (ALT) \>2.5x laboratory upper limit of normal
* Absolute neutrophil count \<1000/mm\^3 or hemoglobin \<10mg/dL
* Estimated glomerular filtration rate \<60 mL/min or a history of renal dialysis
* Other laboratory abnormality that would make the study risky for the patient as determined by the study investigator
* Acute or chronic hepatitis C virus infection determined by a detectable VL
* Acute or chronic hepatitis B determined by detectable hepatitis B surface antigen (HbsAg) or hepatitis B core antibody (HbcAb) IgM
* History of tuberculosis (TB), or positive TB test at screening (QuantiFERON or tuberculin skin test)
* Other infection (eg, influenza, urinary tract infection) that would affect response to anakinra, or that would represent a risk of significant infection based upon the known effects of anakinra, and the likely effects of anakinra on this population.
* Receipt of live vaccine within four weeks of starting anakinra or planned within three months after study completion
* Contraindication to MRI including pacemakers or other implanted electrical devices, brain stimulators, some types of dental implants, some types of aneurysm clips (metal clips on the wall of a large artery), some types of metallic prostheses (including metal pins and rods, heart valves, and cochlear implants), permanent eyeliner, or shrapnel fragments. Participants who require sedation for claustrophobia during the MRI will not be excluded.
* Known hypersensitivity or contraindication to gadolinium or any component of anakinra
* Participation in a clinical protocol (e.g. anti-inflammatory drug intervention study) which includes an intervention that may affect the results of the current study.
* Any condition that would increase risk to the subject or would interfere with the subject s ability to comply with protocol requirements (e.g. inability to travel to the study site frequently).",https://clinicaltrials.gov/ct2/show/NCT02527460,NCT02527460,Unknown,TERMINATED,2015-08-17,"HIV Infections, Neurologic Disorders",Anakinra,"Baltimore - United States, Bethesda - United States",2018-03-02,2015-08-19,2019-11-29,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

Patients who meet all of the following criteria are eligible for enrollment as study participants, including participants who:

* Subjects who were randomized to the placebo arm of protocol NA_00077852 ""Oral Immunotherapy for Induction of Tolerance in Peanut Allergic Children.""
* Parent guardian must be able to understand and provide informed consent
* Peanut allergy, as defined by a reaction to a cumulative dose of ≤1000 mg of peanut protein during the End-of-Treatment food challenge from Protocol NA_00077852 ""Oral Immunotherapy for Induction of Tolerance in Peanut Allergic Children""

Exclusion Criteria:

Patients who meet any of these criteria are not eligible for enrollment as study participants, including participants who:

* Inability or unwillingness of a parent guardian to give written informed consent or comply with study protocol
* History of severe anaphylaxis to peanut, defined by severe hypoxia, hypotension, neurological compromise, confusion, cardiovascular collapse, or loss of consciousness
* Significant chronic disease (other than asthma, rhinitis, or atopic dermatitis) requiring therapy; e.g., heart disease or cystic fibrosis which is judged by the investigator to have potential impact on study outcomes or safety.
* Severe or poorly controlled atopic dermatitis per investigator's discretion
* Past or current history of eosinophilic gastrointestinal disease
* Diagnosis of asthma that meets any of the following criteria:

  * Uncontrolled asthma (as per Global Initiative for Asthma \[GINA\] latest guidelines)
  * History of 2 or more systemic corticosteroid courses or 1 systemic course within the 3 previous months prior to visit 1 for treating wheezing
  * Prior intubation/mechanical ventilation for asthma
* Currently receiving β-blocking agents, angiotensin-converting enzyme inhibitors, angiotensin-receptor blockers, calcium channel blockers or tricyclic antidepressant therapy.
* Current participation in another clinical trial or participation in another clinical trial in the last 90 days",https://clinicaltrials.gov/ct2/show/NCT03345160,NCT03345160,Unknown,COMPLETED,2018-04-27,Treatment Efficacy,Peanut Flour,Baltimore - United States,2020-10-07,2017-11-17,2021-10-29,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Be at least 18 years old
* Be undergoing taper of prescribed opioid pain medications at the study site

Exclusion Criteria:

* Being pregnant or breastfeeding
* Past 7-day use of grapefruit juice or other strong Cytochrome (CYP) P450 inhibitors or inducers
* Have medical or psychiatric condition that is contraindicated with buspirone administration
* Current suicidality as assessed by clinic staff or the Columbia Suicide Severity Rating Scale",https://clinicaltrials.gov/ct2/show/NCT03521960,NCT03521960,Unknown,COMPLETED,2018-05-30,"Opioid-Related Disorders, Dependency (Psychology), Pain, Chronic, Opiate Withdrawal Syndrome","Buspirone oral capsule, Placebo oral capsule",Baltimore - United States,2020-06-30,2018-05-11,2020-07-23,INTERVENTIONAL,PHASE1
"Inclusion Criteria:

* Male and female volunteers between the ages of 18-75 with:
* 10 subjects who are status post pancreatic resection and 10 volunteers who are Type 1 diabetic for \> 8 years (volunteers must have a stable glycemic profile that includes use of an insulin pump to control their blood glucose) with or without prior pancreatic resection.
* HbA1c levels ≤ 8.5.

Exclusion Criteria:

* Lactating or pregnant females.
* Brittle or Labile diabetics: Volunteers with extremely erratic patterns of glucose control with large fluctuations in glucose levels for no obvious reason.
* Allergy to beef or beef by-products.
* Hypoglycemia within the past year requiring medical or other assistance to correct.
* Known autonomic neuropathy.
* Documented blood glucose under 60 mg within the past year and hypoglycemic unawareness.
* Durations of type 1 Diabetes Melitis (DM) ≤ 8 years.
* Not currently on pump therapy.
* Type 1 DM who has a BMI ≥ 35.",https://clinicaltrials.gov/ct2/show/NCT00791076,NCT00791076,Unknown,TERMINATED,2007-10,"Diabetes Mellitus, Type 1","Placebo, Pancreatic Polypeptide (PP)",Baltimore - United States,2010-06,2008-11-14,2017-07-12,INTERVENTIONAL,PHASE2
"Inclusion Criteria:

* Clinical history consistent with IPF for greater than or equal to 3 months duration and less than 5 years.
* Documented IPF with UIP on histologic examination of surgical lung biopsy confirmed by study physician (RT).
* High resolution CT (HRCT) of chest consistent with IPF (bibasilar reticular abnormalities with minimal ground glass opacities) as determined by study physician (KMH).
* Failure to have \>/= 10% increase in FVC on prior adequate treatment with corticosteroids and/or cytotoxic drugs, or intolerance to these drugs precluding use.
* FVC \>/= 40% and \</= 90% predicted at screening.
* DLCo \>/= 25% predicted at screening
* Oxygen saturation \>/= 88% on room air or \</= 2L oxygen at screening.
* Age 50-80 inclusive
* Ability to understand and sign informed written consent form and comply with study guidelines

Exclusion Criteria:

* Known etiology of ILD (e.g. sarcoid, hypersensitivity pneumonitis, BOOP etc.)
* Clinically significant toxic or environmental exposure to respiratory irritants (e.g. drugs, asbestosis, radiation etc.)
* Diagnosis of collagen vascular disease.
* Obstruction on PFTs, defined as FEV1/FVC \< 0.6.
* Active infection
* End stage coronary artery disease, congestive heart failure or cor pulmonale
* History of significant peripheral vascular disease
* History of peripheral neuropathy
* History of clinically significant obstructive sleep apnea
* History of poorly controlled diabetes
* Pregnant or lactating women
* Abnormal laboratories as defined as: WBC \< 2300/mm3, HCT \< 30% or \>55%, PLT \< 100k/mm3. creatinine \>1.5, AST or ALT \> 3x normal, total bilirubin \> 1.5.
* Current enrollment in another protocol for IPF
* Prednisone use \>15 mg a day in 4 weeks prior to starting trial.
* Cytotoxic drugs (cyclophosphamide, azathioprine, colchicines, cyclosporine, interferon-gamma) 6 weeks prior to screening.
* Patients requiring chronic narcotic analgesic.
* Patients unable to give informed consent.
* Patients unable to comply with the requirements for the trial.
* Patients with known allergy/intolerance to thalidomide;
* Patients with a predicted life expectance less than 6 months.",https://clinicaltrials.gov/ct2/show/NCT00162760,NCT00162760,Unknown,COMPLETED,2003-10,Idiopathic Pulmonary Fibrosis (IPF),Thalidomide,Baltimore - United States,Unknown Date,2005-09-13,2010-06-22,INTERVENTIONAL,PHASE2
